,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
41986,6257 Carolina Commons Dr,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'ByAppointmentOnly': False}",tnBFCkfWPM8FVGkR3bYxyA,"['Nail Salons', 'Beauty & Spas']",Fort Mill,{},1,34.9367543771,-80.8379407124,Classy Nails,,29707,4,3.0,SC
42608,7804A Fairview Rd,{'ByAppointmentOnly': False},8sX2Qb-_hUK6I3h4LjxDfg,"['Health & Medical', 'Family Practice', 'Obstetricians & Gynecologists', 'Doctors', 'Pediatricians']",Charlotte,{},1,35.1469664,-80.8090772,Novant Health Primary Care Foxcroft,,28226,7,3.5,NC
43843,2007 Commonwealth Ave,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': False, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}}",TZmMsbw5TbRqv8rmKj_aGg,"['Sandwiches', 'Food', 'Delis', 'Delicatessen', 'Nightlife', 'Music Venues', 'Beer', 'Wine & Spirits', 'Restaurants', 'Arts & Entertainment']",Charlotte,"{'Monday': '6:30-0:00', 'Tuesday': '6:30-0:00', 'Friday': '6:30-2:00', 'Wednesday': '6:30-0:00', 'Thursday': '6:30-2:00', 'Sunday': '8:00-0:00', 'Saturday': '6:30-2:00'}",1,35.2189418,-80.8117345,The Common Market,,28205,213,4.5,NC
44368,200 Egbert Rd,{'RestaurantsPriceRange2': 1},IjEX9xqyfmF79Np5CZoFyQ,"['Cosmetics & Beauty Supply', 'Shopping', 'Beauty & Spas']",Bedford,{},1,41.3777277,-81.535673,Art of Beauty,,44146,3,3.5,OH
44399,6705-B Phillips Pl Ct,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'Caters': True, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'dressy', 'RestaurantsReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': False, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': False, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}}",EMdlJvCTuT_sylNzcElSLg,"['Restaurants', 'Seafood', 'Steakhouses', 'American (Traditional)']",Charlotte,"{'Monday': '11:30-22:00', 'Tuesday': '11:30-22:00', 'Friday': '11:30-23:00', 'Wednesday': '11:30-22:00', 'Thursday': '11:30-22:00', 'Sunday': '17:00-21:00', 'Saturday': '17:00-23:00'}",1,35.1468168,-80.8277649,The Palm Charlotte,South Park,28210,124,3.5,NC
45820,3600 S Las Vegas Blvd,"{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'quiet', 'RestaurantsAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'yes_corkage', 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': True, 'RestaurantsTableService': True, 'Corkage': True, 'RestaurantsTakeOut': False, 'GoodForKids': False, 'WheelchairAccessible': True, 'BikeParking': False, 'OutdoorSeating': False, 'RestaurantsPriceRange2': 4, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}}",rtlsfmdufArhk-47sWIf2w,"['French', 'Restaurants']",Las Vegas,"{'Tuesday': '17:00-22:00', 'Friday': '17:00-22:00', 'Wednesday': '17:00-22:00', 'Thursday': '17:00-22:00', 'Sunday': '17:00-22:00', 'Saturday': '17:00-22:00'}",1,36.1134402089,-115.175275767,Le Cirque,The Strip,89109,642,4.5,NV
46065,100 S Green Valley Pkwy,"{'Alcohol': 'beer_and_wine', 'Caters': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': True, 'RestaurantsDelivery': False, 'RestaurantsTakeOut': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",r-s-G1yyETRzTALYG9js8A,"['Health Markets', 'Food', 'Specialty Food', 'Beer', 'Wine & Spirits', 'Organic Stores', 'Grocery']",Henderson,"{'Monday': '8:00-22:00', 'Tuesday': '8:00-22:00', 'Friday': '8:00-22:00', 'Wednesday': '8:00-22:00', 'Thursday': '8:00-22:00', 'Sunday': '8:00-22:00', 'Saturday': '8:00-22:00'}",1,36.0233404,-115.0824269,Whole Foods Market,,89012,235,3.5,NV
46397,4268 E Towne Blvd,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",br19XpHNLqMuMp1kObb7pg,"['Day Spas', 'Nail Salons', 'Beauty & Spas']",Madison,"{'Monday': '9:00-19:00', 'Tuesday': '9:00-19:00', 'Friday': '9:00-19:00', 'Wednesday': '9:00-19:00', 'Thursday': '9:00-19:00', 'Saturday': '9:00-17:00'}",1,43.1249203,-89.309507,La Vie Nails & Spa,,53704,47,4.5,WI
46635,500 S Goodwin Ave,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': False}, 'BikeParking': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'AcceptsInsurance': False, 'HappyHour': False, 'GoodForKids': True, 'ByAppointmentOnly': True, 'Alcohol': 'beer_and_wine'}",A_eABcl0LTts73RNo2Np2Q,"['Restaurants', 'Music Venues', 'Arts & Entertainment', 'Health & Medical', 'Venues & Event Spaces', 'Ticket Sales', 'Wedding Planning', 'Nightlife', 'Counseling & Mental Health', 'Performing Arts', 'Event Planning & Services']",Urbana,"{'Monday': '10:00-18:00', 'Tuesday': '10:00-18:00', 'Friday': '10:00-18:00', 'Wednesday': '10:00-18:00', 'Thursday': '10:00-18:00', 'Sunday': '10:00-18:00', 'Saturday': '10:00-18:00'}",1,40.108013,-88.222747,Krannert Center for the Performing Arts,,61801,27,5.0,IL
46788,"3025 Springbank Ln, Ste 200","{'AcceptsInsurance': True, 'ByAppointmentOnly': True, 'BusinessAcceptsCreditCards': True}",qmUOSh1eNbnT1fvQVOuHcQ,"['Ophthalmologists', 'Doctors', 'Health & Medical', 'Laser Eye Surgery/Lasik', 'Optometrists']",Charlotte,"{'Friday': '8:00-17:00', 'Tuesday': '8:00-17:00', 'Thursday': '8:00-17:00', 'Wednesday': '8:00-17:00', 'Monday': '8:00-17:00'}",1,35.1017959564,-80.7799386978,Providence Eye & Laser Specialists,,28226,22,5.0,NC
46999,333 East Trade St,"{'BusinessAcceptsCreditCards': True, 'GoodForKids': True}",nmOJhPW62nCiuXHJuWooIg,"['Nightlife', 'Music Venues', 'Arts & Entertainment', 'Home Services', 'Sports Clubs', 'Professional Sports Teams', 'Active Life', 'Stadiums & Arenas', 'Television Service Providers']",Charlotte,"{'Friday': '9:00-19:00', 'Tuesday': '9:00-19:00', 'Thursday': '9:00-19:00', 'Wednesday': '9:00-19:00', 'Monday': '9:00-19:00'}",1,35.2253589804,-80.8402246307,Spectrum Center,First Ward,28202,136,3.5,NC
47655,"2000 S Blvd, Ste 610","{'Alcohol': 'beer_and_wine', 'HasTV': True, 'NoiseLevel': 'average', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': False, 'BikeParking': True, 'Smoking': 'outdoor', 'HappyHour': False, 'WheelchairAccessible': True, 'DogsAllowed': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsTakeOut': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'CoatCheck': False, 'GoodForDancing': False}",_ABVTPkUnbCWgBmakmKXMw,"['Beer', 'Wine & Spirits', 'Nightlife', 'Bars', 'Wine Bars', 'Food', 'Shopping']",Charlotte,"{'Monday': '10:00-22:00', 'Tuesday': '12:00-22:00', 'Friday': '12:00-23:00', 'Wednesday': '12:00-22:00', 'Thursday': '12:00-22:00', 'Sunday': '12:00-18:00', 'Saturday': '11:00-23:00'}",1,35.209251702,-80.8609794074,Vin Master,South End,28203,62,4.5,NC
47849,3300 E Flamingo Road,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'WiFi': 'free', 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'WheelchairAccessible': True}",lMvz9E-JO3pajoTLAh6O6w,"['Food', 'Coffee & Tea']",Las Vegas,"{'Monday': '7:00-21:00', 'Tuesday': '7:00-21:00', 'Friday': '7:00-23:00', 'Wednesday': '7:00-21:00', 'Thursday': '7:00-23:00', 'Sunday': '7:00-21:00', 'Saturday': '7:00-23:00'}",0,36.116765,-115.102953,Rejavanate Coffee Shop,Eastside,89121,23,4.0,NV
47868,3625 Butler St,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'WheelchairAccessible': True}",_sR6PBPk5k0tam8kCSGBkQ,"['Florists', 'Shopping', 'Event Planning & Services', 'Party & Event Planning', 'Flowers & Gifts']",Pittsburgh,{},1,40.4661342,-79.9650834,Allison McGeary Events,Lawrenceville,15201,5,3.5,PA
47945,"1733 W Kirby Ave, Ste B-11","{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BusinessAcceptsBitcoin': False, 'BikeParking': True, 'GoodForKids': True, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",_ZRBWnsYHLBqs10N2i9Fnw,"['Hair Salons', 'Beauty & Spas', 'Hair Stylists', ""Men's Hair Salons"", 'Barbers']",Champaign,"{'Monday': '9:00-20:00', 'Tuesday': '9:00-20:00', 'Friday': '9:00-20:00', 'Wednesday': '9:00-20:00', 'Thursday': '9:00-20:00', 'Sunday': '10:00-18:00', 'Saturday': '9:00-18:00'}",1,40.097317,-88.2750893,Sport Clips Haircuts of Champaign - Old Farm Shops,,61821,14,4.0,IL
48492,5050 S Fort Apache Rd,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",gf8LY-OCB7AKnEYCXhmZdQ,"['Shopping', 'Hardware Stores', 'Home & Garden', 'Home Services', 'Lighting Fixtures & Equipment', 'Building Supplies', 'Nurseries & Gardening']",W Spring Valley,"{'Monday': '6:00-22:00', 'Tuesday': '6:00-22:00', 'Friday': '6:00-22:00', 'Wednesday': '6:00-22:00', 'Thursday': '6:00-22:00', 'Sunday': '8:00-20:00', 'Saturday': '6:00-22:00'}",1,36.097164,-115.294495,Lowe's Home Improvement,Spring Valley,89148,53,3.0,NV
48644,6482 N Decatur Blvd,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'GoodForKids': False, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",NgoZE6tLOJ9bNhnMJV__Ug,"['Hair Salons', 'Day Spas', 'Skin Care', 'Beauty & Spas']",Las Vegas,"{'Monday': '9:00-18:00', 'Tuesday': '9:00-19:00', 'Friday': '9:00-20:00', 'Wednesday': '9:00-19:00', 'Thursday': '9:00-19:00', 'Sunday': '9:00-18:00', 'Saturday': '9:00-18:00'}",0,36.2780299,-115.2060142,Euphoria Salon & Day Spa,,89130,27,4.5,NV
48683,3770 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': True, 'NoiseLevel': 'loud', 'RestaurantsAttire': 'casual', 'BusinessAcceptsCreditCards': True, 'Music': {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'yes_free', 'Caters': False, 'WiFi': 'free', 'RestaurantsReservations': True, 'BYOB': False, 'BusinessAcceptsBitcoin': False, 'BikeParking': False, 'Corkage': False, 'RestaurantsTakeOut': True, 'GoodForKids': False, 'HappyHour': True, 'GoodForDancing': False, 'DogsAllowed': False, 'RestaurantsTableService': True, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 2, 'RestaurantsDelivery': False, 'BestNights': {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'CoatCheck': False, 'Smoking': 'outdoor', 'WheelchairAccessible': True}",0AQnRQw34IQW9-1gJkYnMA,"['Restaurants', 'Mexican', 'Nightlife', 'Bars']",Las Vegas,"{'Monday': '11:00-23:00', 'Tuesday': '11:00-23:00', 'Friday': '11:00-2:00', 'Wednesday': '11:00-23:00', 'Thursday': '11:00-1:00', 'Sunday': '11:00-22:00', 'Saturday': '11:00-2:00'}",0,36.1041326556,-115.17354363,Diablo's Cantina,The Strip,89109,1134,3.0,NV
49167,189 Crocker Park Blvd,"{'RestaurantsPriceRange2': 3, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'BikeParking': True, 'WheelchairAccessible': True}",HJx0usnyVijOom2q73xGIA,"['Shopping', 'Shopping Centers']",Westlake,"{'Monday': '10:00-21:00', 'Tuesday': '10:00-21:00', 'Friday': '10:00-21:00', 'Wednesday': '10:00-21:00', 'Thursday': '10:00-21:00', 'Sunday': '11:00-18:00', 'Saturday': '10:00-21:00'}",1,41.4596536855,-81.9519245625,Crocker Park,,44145,89,4.0,OH
49993,5820 Forbes Ave,"{'DogsAllowed': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",KsTsrgto44J3F4vIR0HEAw,"['Home Decor', 'Home & Garden', 'Cards & Stationery', 'Flowers & Gifts', 'Jewelry', 'Shopping', 'Arts & Crafts', 'Event Planning & Services']",Pittsburgh,"{'Monday': '10:00-18:00', 'Tuesday': '10:00-20:00', 'Friday': '10:00-18:00', 'Wednesday': '10:00-18:00', 'Thursday': '10:00-20:00', 'Saturday': '10:00-18:00'}",1,40.4378519,-79.922053,Ten Thousand Villages,Squirrel Hill,15217,11,4.5,PA
50527,2951 E Germann Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'RestaurantsTableService': False}",nYxa4JoHZ96kptIZhFlz9w,"['Restaurants', 'Fast Food', 'Burgers']",Chandler,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-23:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-23:00'}",1,33.2768201798,-111.790970078,McDonald's,,85286,22,2.5,AK
50966,"3410 St Vardell Ln, Ste D","{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'Caters': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'BikeParking': True}",BpW65jN4yscndnTsdyzoHQ,"['Food Trucks', 'Food', 'Arts & Crafts', 'Food Stands', 'Shopping', 'Caterers', 'Event Planning & Services', 'Cooking Classes', 'Restaurants']",Charlotte,"{'Monday': '8:00-16:00', 'Tuesday': '8:00-16:00', 'Friday': '8:00-16:00', 'Wednesday': '8:00-16:00', 'Thursday': '8:00-16:00', 'Saturday': '8:00-14:00'}",1,35.199474,-80.879974,Roots Farm Food,,28217,32,4.0,NC
51244,4525 Dean Martin Dr,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'BusinessAcceptsCreditCards': False, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'AcceptsInsurance': False, 'ByAppointmentOnly': True, 'WheelchairAccessible': False}",ktUvM-g8pLFbXiJoXrHOmA,"['Massage Therapy', 'Home Health Care', 'Local Services', 'Couriers & Delivery Services', 'Health & Medical', 'Massage', 'Beauty & Spas']",Las Vegas,"{'Monday': '8:00-1:00', 'Tuesday': '8:00-1:00', 'Friday': '8:00-1:00', 'Wednesday': '8:00-1:00', 'Thursday': '8:00-1:00', 'Sunday': '8:00-1:00', 'Saturday': '8:00-1:00'}",1,36.1071783,-115.1821865,Massage 2go,,89103,52,5.0,NV
51756,3377 Las Vegas Blvd S,"{'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': False, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",0JZYzp5Z8tEbVr0N2MaLdw,"['Cosmetics & Beauty Supply', 'Shopping', 'Beauty & Spas']",Las Vegas,"{'Monday': '10:00-23:00', 'Tuesday': '10:00-23:00', 'Friday': '10:00-0:00', 'Wednesday': '10:00-23:00', 'Thursday': '10:00-23:00', 'Sunday': '10:00-23:00', 'Saturday': '10:00-0:00'}",1,36.1218632,-115.1696491,Sephora,The Strip,89109,120,4.0,NV
51843,1400 E 9th St,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'ByAppointmentOnly': False}",RcKf9YwEcCdHJfo1uRHjyQ,"['Shopping', 'Photography Stores & Services', 'Pharmacy', 'Drugstores', 'Health & Medical']",Cleveland,{},1,41.5031428,-81.6897837,CVS Pharmacy,Civic Center,44114,4,2.0,OH
52234,3651 Centre Circle Dr,"{'BusinessAcceptsCreditCards': True, 'ByAppointmentOnly': True}",h_CWTy9SwAUUW2l1kBJDvw,"['Home Services', 'Contractors']",Fort Mill,{},1,35.09349,-80.922698,Paradise Home Improvement,,,4,1.0,SC
52546,3131 Las Vegas Blvd S,"{'Alcohol': 'full_bar', 'HasTV': False, 'NoiseLevel': 'average', 'RestaurantsAttire': 'dressy', 'BusinessAcceptsCreditCards': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}, 'RestaurantsGoodForGroups': True, 'BYOBCorkage': 'no', 'Caters': False, 'WiFi': 'no', 'RestaurantsReservations': True, 'BYOB': False, 'RestaurantsTableService': True, 'RestaurantsTakeOut': False, 'GoodForKids': False, 'WheelchairAccessible': True, 'BikeParking': False, 'OutdoorSeating': True, 'RestaurantsPriceRange2': 4, 'RestaurantsDelivery': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'BusinessParking': {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'RestaurantsCounterService': False}",L_ZLtfHvfzfoNVQ0-okTXg,"['Restaurants', 'Steakhouses']",Las Vegas,"{'Monday': '17:30-22:00', 'Tuesday': '17:30-22:00', 'Friday': '17:30-22:00', 'Wednesday': '17:30-22:00', 'Thursday': '17:30-22:00', 'Sunday': '17:30-22:00', 'Saturday': '17:30-22:00'}",1,36.1261670801,-115.166813653,SW Steakhouse,The Strip,89109,1048,4.0,NV
52694,45 Erieview Plz,{'RestaurantsPriceRange2': 2},BprmNfjUZJTNh6Wd4PB1LA,"['Mobile Phone Accessories', 'Electronics', 'Shopping', 'Professional Services', 'Mobile Phones', 'Home Services', 'Internet Service Providers']",Cleveland,"{'Friday': '9:00-18:00', 'Tuesday': '9:00-18:00', 'Thursday': '9:00-18:00', 'Wednesday': '9:00-18:00', 'Monday': '9:00-18:00'}",0,41.5052303,-81.69044769999999,AT&T Authorized Retailer - Cleveland,Civic Center,44114,5,3.0,OH
53046,119 E University Ave,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",fZQ3QjGMRELHG9f0WnN8vw,"['Home Services', 'Shopping', 'Furniture Stores', 'Building Supplies', 'Home & Garden', 'Books', 'Mags', 'Music & Video', 'Department Stores', 'Vinyl Records', 'Fashion', 'Thrift Stores']",Champaign,"{'Tuesday': '10:00-18:00', 'Friday': '10:00-18:00', 'Wednesday': '10:00-18:00', 'Thursday': '10:00-18:00', 'Saturday': '10:00-16:00'}",1,40.1160509,-88.2377651,The Habitat for Humanity ReStore,,61820,23,4.5,IL
54817,9770 Silicon Prairie Pkwy,"{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",nk0rVsak2gP7IEVxayx0qg,"['Home Services', 'Shopping', 'Musical Instruments & Teachers', 'Lighting Fixtures & Equipment', 'Electronics']",Madison,"{'Friday': '9:00-17:30', 'Tuesday': '9:00-17:30', 'Thursday': '9:00-17:30', 'Wednesday': '9:00-17:30', 'Monday': '9:00-17:30'}",1,43.0580445,-89.5574615,Full Compass Systems,,53593,24,2.5,WI
55246,121 E Mifflin St,"{'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BusinessParking': {'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'WheelchairAccessible': True, 'ByAppointmentOnly': True}",RraXYnmTq31GbpaLSUEWTw,"['Beauty & Spas', 'Hair Removal', 'Barbers', 'Hair Salons']",Madison,{},0,43.076762,-89.383353,Cha Cha Beauty & Barber,Capitol,53703,15,4.5,WI
55469,400 E Morehead St,"{'BusinessAcceptsCreditCards': True, 'GoodForKids': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'BikeParking': True, 'ByAppointmentOnly': False}",Nh5lFw2MLYBYxO1SzhsLqA,"['Fitness & Instruction', 'Local Services', 'Health & Medical', 'Child Care & Day Care', 'Active Life', 'Gyms', 'Weight Loss Centers']",Charlotte,"{'Monday': '5:00-22:00', 'Tuesday': '5:00-22:00', 'Friday': '5:00-21:00', 'Wednesday': '5:00-22:00', 'Thursday': '5:00-22:00', 'Sunday': '12:00-18:00', 'Saturday': '7:30-18:00'}",1,35.217739122,-80.8488028971,Dowd Branch YMCA,Dilworth,28202,81,4.0,NC
55667,"2075 E Windmill Ln, Ste 130","{'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'HairSpecializesIn': {'coloring': True, 'africanamerican': False, 'curly': False, 'perms': False, 'kids': False, 'extensions': True, 'asian': False, 'straightperms': False}, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'AcceptsInsurance': False, 'GoodForKids': False, 'ByAppointmentOnly': False, 'WheelchairAccessible': True}",Rl6NhS6S-Vv-HuGlQUVvRQ,"['Skin Care', 'Waxing', 'Nail Salons', 'Makeup Artists', 'Massage', 'Tanning', 'Hair Salons', 'Hair Removal', 'Beauty & Spas']",Las Vegas,"{'Tuesday': '10:00-19:00', 'Friday': '10:00-20:00', 'Wednesday': '10:00-20:00', 'Thursday': '10:00-20:00', 'Saturday': '10:00-17:00'}",1,36.0420828,-115.1224299,Hotbox Salon,Southeast,89123,189,4.5,NV
55942,1601 Elizabeth Ave,"{'RestaurantsTableService': True, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'full_bar', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': True, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': False, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}}",9_onoqwv9ZdItxc8OlUKAg,"['Restaurants', 'Seafood', 'American (New)']",Charlotte,"{'Tuesday': '17:00-22:00', 'Friday': '17:00-23:00', 'Wednesday': '17:00-22:00', 'Thursday': '17:00-22:00', 'Sunday': '17:00-21:00', 'Saturday': '17:00-23:00'}",1,35.2138221,-80.8263692,Customshop Handcrafted Food,Elizabeth,28204,176,4.0,NC
